,palette,loc,height,set,blobCount,closeEnough,count4,closeCount4,time,compareArr,points,path
0,custom,davids,high,A,1,True,False,False,128890945,['1.0'],[1.0],custom_davids_high_A_0.jpg
1,custom,davids,high,A,1,True,False,False,126632038,['1.0'],[1.0],custom_davids_high_A_1.jpg
2,custom,davids,high,A,0,False,False,False,115959795,[''],[],custom_davids_high_A_2.jpg
3,custom,davids,high,A,0,False,False,False,122716075,[''],[],custom_davids_high_A_3.jpg
4,custom,davids,high,A,2,True,False,False,120398929,"['1.0', ' 1.4142135623730951']","[1.0, 1.4142135623730951]",custom_davids_high_A_4.jpg
5,custom,davids,high,B,4,True,True,True,120075020,"['1.0', ' 1.0', ' 2.23606797749979', ' 3.1622776601683795']","[1.0, 1.0, 2.23606797749979, 3.1622776601683795]",custom_davids_high_B_0.jpg
6,custom,davids,high,B,1,True,False,False,118751483,['1.0'],[1.0],custom_davids_high_B_1.jpg
7,custom,davids,high,B,3,True,False,False,115076878,"['0.0', ' 1.0', ' 2.0']","[0.0, 1.0, 2.0]",custom_davids_high_B_2.jpg
8,custom,davids,high,B,0,False,False,False,117595552,[''],[],custom_davids_high_B_3.jpg
9,custom,davids,high,B,0,False,False,False,106556911,[''],[],custom_davids_high_B_4.jpg
10,custom,davids,high,C,0,False,False,False,109522036,[''],[],custom_davids_high_C_0.jpg
11,custom,davids,high,C,1,True,False,False,114168787,['0.0'],[0.0],custom_davids_high_C_1.jpg
12,custom,davids,high,C,1,True,False,False,118394300,['0.0'],[0.0],custom_davids_high_C_2.jpg
13,custom,davids,high,C,1,True,False,False,113047419,['1.4142135623730951'],[1.4142135623730951],custom_davids_high_C_3.jpg
14,custom,davids,high,C,1,True,False,False,113849925,['1.4142135623730951'],[1.4142135623730951],custom_davids_high_C_4.jpg
15,custom,davids,high,D,2,True,False,False,112698238,"['1.4142135623730951', ' 2.23606797749979']","[1.4142135623730951, 2.23606797749979]",custom_davids_high_D_0.jpg
16,custom,davids,high,D,2,True,False,False,116232818,"['0.0', ' 1.4142135623730951']","[0.0, 1.4142135623730951]",custom_davids_high_D_1.jpg
17,custom,davids,high,D,1,True,False,False,117648955,['1.4142135623730951'],[1.4142135623730951],custom_davids_high_D_2.jpg
18,custom,davids,high,D,0,False,False,False,118214242,[''],[],custom_davids_high_D_3.jpg
19,custom,davids,high,D,4,True,True,True,108424565,"['1.0', ' 1.0', ' 2.0', ' 2.23606797749979']","[1.0, 1.0, 2.0, 2.23606797749979]",custom_davids_high_D_4.jpg
20,custom,davids,medium,A,1,True,False,False,110517948,['1.0'],[1.0],custom_davids_medium_A_0.jpg
21,custom,davids,medium,A,1,True,False,False,112830375,['2.23606797749979'],[2.23606797749979],custom_davids_medium_A_1.jpg
22,custom,davids,medium,A,2,True,False,False,108174977,"['1.4142135623730951', ' 1.4142135623730951']","[1.4142135623730951, 1.4142135623730951]",custom_davids_medium_A_2.jpg
23,custom,davids,medium,A,0,False,False,False,115359299,[''],[],custom_davids_medium_A_3.jpg
24,custom,davids,medium,A,0,False,False,False,107898756,[''],[],custom_davids_medium_A_4.jpg
25,custom,davids,medium,B,2,True,False,False,115311090,"['0.0', ' 2.23606797749979']","[0.0, 2.23606797749979]",custom_davids_medium_B_0.jpg
26,custom,davids,medium,B,4,True,True,True,124579331,"['0.0', ' 0.0', ' 1.4142135623730951', ' 2.23606797749979']","[0.0, 0.0, 1.4142135623730951, 2.23606797749979]",custom_davids_medium_B_1.jpg
27,custom,davids,medium,B,2,True,False,False,118828242,"['1.0', ' 1.0']","[1.0, 1.0]",custom_davids_medium_B_2.jpg
28,custom,davids,medium,B,2,True,False,False,121117029,"['1.0', ' 1.4142135623730951']","[1.0, 1.4142135623730951]",custom_davids_medium_B_3.jpg
29,custom,davids,medium,B,2,True,False,False,114039083,"['1.0', ' 1.0']","[1.0, 1.0]",custom_davids_medium_B_4.jpg
30,custom,davids,medium,C,1,True,False,False,117450677,['1.0'],[1.0],custom_davids_medium_C_0.jpg
31,custom,davids,medium,C,0,False,False,False,113130829,[''],[],custom_davids_medium_C_1.jpg
32,custom,davids,medium,C,2,True,False,False,120238538,"['0.0', ' 1.0']","[0.0, 1.0]",custom_davids_medium_C_2.jpg
33,custom,davids,medium,C,1,True,False,False,117591755,['2.23606797749979'],[2.23606797749979],custom_davids_medium_C_3.jpg
34,custom,davids,medium,C,0,False,False,False,106887746,[''],[],custom_davids_medium_C_4.jpg
35,custom,davids,medium,D,2,True,False,False,119851663,"['1.4142135623730951', ' 2.23606797749979']","[1.4142135623730951, 2.23606797749979]",custom_davids_medium_D_0.jpg
36,custom,davids,medium,D,1,True,False,False,112506597,['1.0'],[1.0],custom_davids_medium_D_1.jpg
37,custom,davids,medium,D,3,True,False,False,116029395,"['1.0', ' 1.0', ' 1.4142135623730951']","[1.0, 1.0, 1.4142135623730951]",custom_davids_medium_D_2.jpg
38,custom,davids,medium,D,3,True,False,False,119271916,"['1.0', ' 1.0', ' 2.23606797749979']","[1.0, 1.0, 2.23606797749979]",custom_davids_medium_D_3.jpg
39,custom,davids,medium,D,1,True,False,False,117547121,['0.0'],[0.0],custom_davids_medium_D_4.jpg
40,custom,davids,short,A,1,True,False,False,112637324,['2.23606797749979'],[2.23606797749979],custom_davids_short_A_0.jpg
41,custom,davids,short,A,2,True,False,False,112425584,"['1.0', ' 2.23606797749979']","[1.0, 2.23606797749979]",custom_davids_short_A_1.jpg
42,custom,davids,short,A,1,True,False,False,111786556,['3.1622776601683795'],[3.1622776601683795],custom_davids_short_A_2.jpg
43,custom,davids,short,A,1,True,False,False,111700197,['0.0'],[0.0],custom_davids_short_A_3.jpg
44,custom,davids,short,A,0,False,False,False,114511932,[''],[],custom_davids_short_A_4.jpg
45,custom,davids,short,B,2,False,False,False,120640998,"['1.0', ' 318.7789202566569']","[1.0, 318.7789202566569]",custom_davids_short_B_0.jpg
46,custom,davids,short,B,1,True,False,False,121498068,['0.0'],[0.0],custom_davids_short_B_1.jpg
47,custom,davids,short,B,0,False,False,False,118214448,[''],[],custom_davids_short_B_2.jpg
48,custom,davids,short,B,0,False,False,False,115277447,[''],[],custom_davids_short_B_3.jpg
49,custom,davids,short,B,1,True,False,False,116389281,['1.0'],[1.0],custom_davids_short_B_4.jpg
50,custom,davids,short,C,0,False,False,False,115181523,[''],[],custom_davids_short_C_0.jpg
51,custom,davids,short,C,0,False,False,False,119324522,[''],[],custom_davids_short_C_1.jpg
52,custom,davids,short,C,1,False,False,False,116136957,['288.1700886629284'],[288.1700886629284],custom_davids_short_C_2.jpg
53,custom,davids,short,C,2,True,False,False,118022411,"['0.0', ' 1.4142135623730951']","[0.0, 1.4142135623730951]",custom_davids_short_C_3.jpg
54,custom,davids,short,C,0,False,False,False,111554213,[''],[],custom_davids_short_C_4.jpg
55,custom,davids,short,D,1,True,False,False,110728294,['0.0'],[0.0],custom_davids_short_D_0.jpg
56,custom,davids,short,D,0,False,False,False,122567676,[''],[],custom_davids_short_D_1.jpg
57,custom,davids,short,D,1,True,False,False,114837039,['0.0'],[0.0],custom_davids_short_D_2.jpg
58,custom,davids,short,D,3,True,False,False,121470819,"['0.0', ' 1.0', ' 2.0']","[0.0, 1.0, 2.0]",custom_davids_short_D_3.jpg
59,custom,davids,short,D,1,True,False,False,108140080,['1.0'],[1.0],custom_davids_short_D_4.jpg
60,custom,jack_cole,high,A,2,True,False,False,113625216,"['1.4142135623730951', ' 2.23606797749979']","[1.4142135623730951, 2.23606797749979]",custom_jack_cole_high_A_0.jpg
61,custom,jack_cole,high,A,2,True,False,False,106760561,"['1.0', ' 2.23606797749979']","[1.0, 2.23606797749979]",custom_jack_cole_high_A_1.jpg
62,custom,jack_cole,high,A,2,True,False,False,112901462,"['1.4142135623730951', ' 2.23606797749979']","[1.4142135623730951, 2.23606797749979]",custom_jack_cole_high_A_2.jpg
63,custom,jack_cole,high,A,2,True,False,False,107435479,"['1.0', ' 1.0']","[1.0, 1.0]",custom_jack_cole_high_A_3.jpg
64,custom,jack_cole,high,A,4,True,True,True,107214763,"['0.0', ' 1.0', ' 2.23606797749979', ' 2.23606797749979']","[0.0, 1.0, 2.23606797749979, 2.23606797749979]",custom_jack_cole_high_A_4.jpg
65,custom,jack_cole,high,B,3,True,False,False,114468157,"['1.0', ' 1.4142135623730951', ' 2.0']","[1.0, 1.4142135623730951, 2.0]",custom_jack_cole_high_B_0.jpg
66,custom,jack_cole,high,B,4,True,True,True,115920583,"['1.0', ' 1.4142135623730951', ' 1.4142135623730951', ' 1.4142135623730951']","[1.0, 1.4142135623730951, 1.4142135623730951, 1.4142135623730951]",custom_jack_cole_high_B_1.jpg
67,custom,jack_cole,high,B,1,True,False,False,123794997,['2.23606797749979'],[2.23606797749979],custom_jack_cole_high_B_2.jpg
68,custom,jack_cole,high,B,2,True,False,False,118970700,"['1.0', ' 1.4142135623730951']","[1.0, 1.4142135623730951]",custom_jack_cole_high_B_3.jpg
69,custom,jack_cole,high,B,2,True,False,False,108501860,"['1.0', ' 1.0']","[1.0, 1.0]",custom_jack_cole_high_B_4.jpg
70,custom,jack_cole,high,C,1,True,False,False,111258288,['1.4142135623730951'],[1.4142135623730951],custom_jack_cole_high_C_0.jpg
71,custom,jack_cole,high,C,2,True,False,False,112633647,"['1.0', ' 1.0']","[1.0, 1.0]",custom_jack_cole_high_C_1.jpg
72,custom,jack_cole,high,C,2,True,False,False,110329304,"['0.0', ' 1.0']","[0.0, 1.0]",custom_jack_cole_high_C_2.jpg
73,custom,jack_cole,high,C,1,True,False,False,108324295,['1.4142135623730951'],[1.4142135623730951],custom_jack_cole_high_C_3.jpg
74,custom,jack_cole,high,C,1,True,False,False,117321017,['1.4142135623730951'],[1.4142135623730951],custom_jack_cole_high_C_4.jpg
75,custom,jack_cole,high,D,2,True,False,False,113378173,"['1.4142135623730951', ' 2.0']","[1.4142135623730951, 2.0]",custom_jack_cole_high_D_0.jpg
76,custom,jack_cole,high,D,0,False,False,False,118138270,[''],[],custom_jack_cole_high_D_1.jpg
77,custom,jack_cole,high,D,1,True,False,False,119499582,['1.0'],[1.0],custom_jack_cole_high_D_2.jpg
78,custom,jack_cole,high,D,1,True,False,False,122104388,['2.0'],[2.0],custom_jack_cole_high_D_3.jpg
79,custom,jack_cole,high,D,3,True,False,False,114229027,"['1.0', ' 1.0', ' 2.0']","[1.0, 1.0, 2.0]",custom_jack_cole_high_D_4.jpg
80,custom,jack_cole,medium,A,1,True,False,False,115839058,['1.0'],[1.0],custom_jack_cole_medium_A_0.jpg
81,custom,jack_cole,medium,A,0,False,False,False,115835910,[''],[],custom_jack_cole_medium_A_1.jpg
82,custom,jack_cole,medium,A,1,True,False,False,108929173,['1.0'],[1.0],custom_jack_cole_medium_A_2.jpg
83,custom,jack_cole,medium,A,2,True,False,False,116207350,"['0.0', ' 2.23606797749979']","[0.0, 2.23606797749979]",custom_jack_cole_medium_A_3.jpg
84,custom,jack_cole,medium,A,1,True,False,False,109220427,['2.0'],[2.0],custom_jack_cole_medium_A_4.jpg
85,custom,jack_cole,medium,B,3,True,False,False,114618942,"['1.0', ' 1.4142135623730951', ' 1.4142135623730951']","[1.0, 1.4142135623730951, 1.4142135623730951]",custom_jack_cole_medium_B_0.jpg
86,custom,jack_cole,medium,B,3,True,False,False,110412347,"['0.0', ' 2.23606797749979', ' 2.23606797749979']","[0.0, 2.23606797749979, 2.23606797749979]",custom_jack_cole_medium_B_1.jpg
87,custom,jack_cole,medium,B,2,True,False,False,114369162,"['2.0', ' 2.23606797749979']","[2.0, 2.23606797749979]",custom_jack_cole_medium_B_2.jpg
88,custom,jack_cole,medium,B,2,True,False,False,106971582,"['2.23606797749979', ' 3.0']","[2.23606797749979, 3.0]",custom_jack_cole_medium_B_3.jpg
89,custom,jack_cole,medium,B,2,True,False,False,108332152,"['1.0', ' 3.1622776601683795']","[1.0, 3.1622776601683795]",custom_jack_cole_medium_B_4.jpg
90,custom,jack_cole,medium,C,0,False,False,False,108288155,[''],[],custom_jack_cole_medium_C_0.jpg
91,custom,jack_cole,medium,C,1,True,False,False,121669685,['0.0'],[0.0],custom_jack_cole_medium_C_1.jpg
92,custom,jack_cole,medium,C,0,False,False,False,117878781,[''],[],custom_jack_cole_medium_C_2.jpg
93,custom,jack_cole,medium,C,0,False,False,False,116509875,[''],[],custom_jack_cole_medium_C_3.jpg
94,custom,jack_cole,medium,C,0,False,False,False,109800744,[''],[],custom_jack_cole_medium_C_4.jpg
95,custom,jack_cole,medium,D,2,True,False,False,111972839,"['2.0', ' 3.0']","[2.0, 3.0]",custom_jack_cole_medium_D_0.jpg
96,custom,jack_cole,medium,D,2,True,False,False,118453222,"['1.0', ' 1.0']","[1.0, 1.0]",custom_jack_cole_medium_D_1.jpg
97,custom,jack_cole,medium,D,2,True,False,False,120852542,"['1.4142135623730951', ' 2.0']","[1.4142135623730951, 2.0]",custom_jack_cole_medium_D_2.jpg
98,custom,jack_cole,medium,D,3,True,False,False,125842582,"['1.4142135623730951', ' 1.4142135623730951', ' 2.23606797749979']","[1.4142135623730951, 1.4142135623730951, 2.23606797749979]",custom_jack_cole_medium_D_3.jpg
99,custom,jack_cole,medium,D,0,False,False,False,108764992,[''],[],custom_jack_cole_medium_D_4.jpg
100,custom,jack_cole,short,A,3,True,False,False,110485090,"['1.0', ' 2.23606797749979', ' 3.1622776601683795']","[1.0, 2.23606797749979, 3.1622776601683795]",custom_jack_cole_short_A_0.jpg
101,custom,jack_cole,short,A,2,True,False,False,117716117,"['3.0', ' 3.0']","[3.0, 3.0]",custom_jack_cole_short_A_1.jpg
102,custom,jack_cole,short,A,2,True,False,False,113310095,"['1.0', ' 1.4142135623730951']","[1.0, 1.4142135623730951]",custom_jack_cole_short_A_2.jpg
103,custom,jack_cole,short,A,3,True,False,False,110201045,"['1.4142135623730951', ' 1.4142135623730951', ' 3.1622776601683795']","[1.4142135623730951, 1.4142135623730951, 3.1622776601683795]",custom_jack_cole_short_A_3.jpg
104,custom,jack_cole,short,A,2,True,False,False,103175922,"['2.23606797749979', ' 2.8284271247461903']","[2.23606797749979, 2.8284271247461903]",custom_jack_cole_short_A_4.jpg
105,custom,jack_cole,short,B,1,True,False,False,105845088,['2.0'],[2.0],custom_jack_cole_short_B_0.jpg
106,custom,jack_cole,short,B,1,True,False,False,115563762,['1.0'],[1.0],custom_jack_cole_short_B_1.jpg
107,custom,jack_cole,short,B,2,True,False,False,116442444,"['1.4142135623730951', ' 2.0']","[1.4142135623730951, 2.0]",custom_jack_cole_short_B_2.jpg
108,custom,jack_cole,short,B,2,True,False,False,119698125,"['1.4142135623730951', ' 2.0']","[1.4142135623730951, 2.0]",custom_jack_cole_short_B_3.jpg
109,custom,jack_cole,short,B,2,True,False,False,112668472,"['1.4142135623730951', ' 2.23606797749979']","[1.4142135623730951, 2.23606797749979]",custom_jack_cole_short_B_4.jpg
110,custom,jack_cole,short,C,0,False,False,False,116844393,[''],[],custom_jack_cole_short_C_0.jpg
111,custom,jack_cole,short,C,1,True,False,False,115255978,['3.0'],[3.0],custom_jack_cole_short_C_1.jpg
112,custom,jack_cole,short,C,1,True,False,False,119067653,['1.0'],[1.0],custom_jack_cole_short_C_2.jpg
113,custom,jack_cole,short,C,0,False,False,False,113603751,[''],[],custom_jack_cole_short_C_3.jpg
114,custom,jack_cole,short,C,1,True,False,False,107248582,['2.8284271247461903'],[2.8284271247461903],custom_jack_cole_short_C_4.jpg
115,custom,jack_cole,short,D,3,True,False,False,111663652,"['0.0', ' 2.0', ' 2.23606797749979']","[0.0, 2.0, 2.23606797749979]",custom_jack_cole_short_D_0.jpg
116,custom,jack_cole,short,D,3,True,False,False,114341288,"['0.0', ' 1.4142135623730951', ' 2.23606797749979']","[0.0, 1.4142135623730951, 2.23606797749979]",custom_jack_cole_short_D_1.jpg
117,custom,jack_cole,short,D,0,False,False,False,110041025,[''],[],custom_jack_cole_short_D_2.jpg
118,custom,jack_cole,short,D,0,False,False,False,113206333,[''],[],custom_jack_cole_short_D_3.jpg
119,custom,jack_cole,short,D,2,True,False,False,116215473,"['2.0', ' 2.23606797749979']","[2.0, 2.23606797749979]",custom_jack_cole_short_D_4.jpg
120,custom,john_honey,high,A,2,True,False,False,117617923,"['1.0', ' 3.1622776601683795']","[1.0, 3.1622776601683795]",custom_john_honey_high_A_0.jpg
121,custom,john_honey,high,A,1,True,False,False,118661775,['1.4142135623730951'],[1.4142135623730951],custom_john_honey_high_A_1.jpg
122,custom,john_honey,high,A,2,True,False,False,116563237,"['1.0', ' 1.4142135623730951']","[1.0, 1.4142135623730951]",custom_john_honey_high_A_2.jpg
123,custom,john_honey,high,A,1,True,False,False,130029590,['1.4142135623730951'],[1.4142135623730951],custom_john_honey_high_A_3.jpg
124,custom,john_honey,high,A,1,True,False,False,129396453,['1.4142135623730951'],[1.4142135623730951],custom_john_honey_high_A_4.jpg
125,custom,john_honey,high,B,1,True,False,False,113760863,['1.0'],[1.0],custom_john_honey_high_B_0.jpg
126,custom,john_honey,high,B,2,True,False,False,113604828,"['1.0', ' 1.4142135623730951']","[1.0, 1.4142135623730951]",custom_john_honey_high_B_1.jpg
127,custom,john_honey,high,B,1,True,False,False,115033076,['1.0'],[1.0],custom_john_honey_high_B_2.jpg
128,custom,john_honey,high,B,1,True,False,False,116150448,['2.0'],[2.0],custom_john_honey_high_B_3.jpg
129,custom,john_honey,high,B,3,True,False,False,107664395,"['0.0', ' 1.0', ' 1.4142135623730951']","[0.0, 1.0, 1.4142135623730951]",custom_john_honey_high_B_4.jpg
130,custom,john_honey,high,C,1,True,False,False,110540021,['1.0'],[1.0],custom_john_honey_high_C_0.jpg
131,custom,john_honey,high,C,0,False,False,False,119713987,[''],[],custom_john_honey_high_C_1.jpg
132,custom,john_honey,high,C,2,True,False,False,115329893,"['0.0', ' 1.0']","[0.0, 1.0]",custom_john_honey_high_C_2.jpg
133,custom,john_honey,high,C,0,False,False,False,117498372,[''],[],custom_john_honey_high_C_3.jpg
134,custom,john_honey,high,C,1,True,False,False,114476425,['1.0'],[1.0],custom_john_honey_high_C_4.jpg
135,custom,john_honey,high,D,0,False,False,False,112902474,[''],[],custom_john_honey_high_D_0.jpg
136,custom,john_honey,high,D,0,False,False,False,115420295,[''],[],custom_john_honey_high_D_1.jpg
137,custom,john_honey,high,D,2,True,False,False,119370482,"['1.4142135623730951', ' 2.0']","[1.4142135623730951, 2.0]",custom_john_honey_high_D_2.jpg
138,custom,john_honey,high,D,1,True,False,False,116261394,['1.0'],[1.0],custom_john_honey_high_D_3.jpg
139,custom,john_honey,high,D,1,True,False,False,113150286,['1.0'],[1.0],custom_john_honey_high_D_4.jpg
140,custom,john_honey,medium,A,3,True,False,False,122476767,"['1.0', ' 1.0', ' 1.4142135623730951']","[1.0, 1.0, 1.4142135623730951]",custom_john_honey_medium_A_0.jpg
141,custom,john_honey,medium,A,2,True,False,False,123188506,"['0.0', ' 1.0']","[0.0, 1.0]",custom_john_honey_medium_A_1.jpg
142,custom,john_honey,medium,A,1,True,False,False,130272717,['0.0'],[0.0],custom_john_honey_medium_A_2.jpg
143,custom,john_honey,medium,A,0,False,False,False,118485210,[''],[],custom_john_honey_medium_A_3.jpg
144,custom,john_honey,medium,A,2,True,False,False,117084095,"['1.0', ' 1.4142135623730951']","[1.0, 1.4142135623730951]",custom_john_honey_medium_A_4.jpg
145,custom,john_honey,medium,B,2,True,False,False,129489269,"['1.0', ' 1.0']","[1.0, 1.0]",custom_john_honey_medium_B_0.jpg
146,custom,john_honey,medium,B,3,True,False,False,118886777,"['1.0', ' 1.0', ' 2.23606797749979']","[1.0, 1.0, 2.23606797749979]",custom_john_honey_medium_B_1.jpg
147,custom,john_honey,medium,B,1,True,False,False,120349794,['0.0'],[0.0],custom_john_honey_medium_B_2.jpg
148,custom,john_honey,medium,B,0,False,False,False,120766383,[''],[],custom_john_honey_medium_B_3.jpg
149,custom,john_honey,medium,B,2,True,False,False,118613231,"['1.0', ' 1.4142135623730951']","[1.0, 1.4142135623730951]",custom_john_honey_medium_B_4.jpg
150,custom,john_honey,medium,C,1,True,False,False,123541423,['1.4142135623730951'],[1.4142135623730951],custom_john_honey_medium_C_0.jpg
151,custom,john_honey,medium,C,0,False,False,False,121503951,[''],[],custom_john_honey_medium_C_1.jpg
152,custom,john_honey,medium,C,2,True,False,False,119520798,"['0.0', ' 1.4142135623730951']","[0.0, 1.4142135623730951]",custom_john_honey_medium_C_2.jpg
153,custom,john_honey,medium,C,0,False,False,False,121876298,[''],[],custom_john_honey_medium_C_3.jpg
154,custom,john_honey,medium,C,2,True,False,False,114547609,"['1.0', ' 1.0']","[1.0, 1.0]",custom_john_honey_medium_C_4.jpg
155,custom,john_honey,medium,D,3,True,False,False,115750110,"['0.0', ' 1.4142135623730951', ' 2.23606797749979']","[0.0, 1.4142135623730951, 2.23606797749979]",custom_john_honey_medium_D_0.jpg
156,custom,john_honey,medium,D,3,True,False,False,113597486,"['0.0', ' 1.0', ' 1.4142135623730951']","[0.0, 1.0, 1.4142135623730951]",custom_john_honey_medium_D_1.jpg
157,custom,john_honey,medium,D,1,True,False,False,117574952,['1.4142135623730951'],[1.4142135623730951],custom_john_honey_medium_D_2.jpg
158,custom,john_honey,medium,D,2,True,False,False,118091739,"['1.0', ' 1.0']","[1.0, 1.0]",custom_john_honey_medium_D_3.jpg
159,custom,john_honey,medium,D,2,True,False,False,124223153,"['1.4142135623730951', ' 2.23606797749979']","[1.4142135623730951, 2.23606797749979]",custom_john_honey_medium_D_4.jpg
160,custom,john_honey,short,A,4,True,True,True,121620120,"['0.0', ' 1.0', ' 1.4142135623730951', ' 2.0']","[0.0, 1.0, 1.4142135623730951, 2.0]",custom_john_honey_short_A_0.jpg
161,custom,john_honey,short,A,3,True,False,False,130298563,"['2.23606797749979', ' 2.23606797749979', ' 3.0']","[2.23606797749979, 2.23606797749979, 3.0]",custom_john_honey_short_A_1.jpg
162,custom,john_honey,short,A,3,True,False,False,120900884,"['1.0', ' 1.0', ' 1.4142135623730951']","[1.0, 1.0, 1.4142135623730951]",custom_john_honey_short_A_2.jpg
163,custom,john_honey,short,A,2,True,False,False,122761646,"['2.0', ' 2.0']","[2.0, 2.0]",custom_john_honey_short_A_3.jpg
164,custom,john_honey,short,A,2,True,False,False,122914972,"['0.0', ' 2.23606797749979']","[0.0, 2.23606797749979]",custom_john_honey_short_A_4.jpg
165,custom,john_honey,short,B,2,True,False,False,122760178,"['1.0', ' 2.0']","[1.0, 2.0]",custom_john_honey_short_B_0.jpg
166,custom,john_honey,short,B,0,False,False,False,126577296,[''],[],custom_john_honey_short_B_1.jpg
167,custom,john_honey,short,B,0,False,False,False,122118746,[''],[],custom_john_honey_short_B_2.jpg
168,custom,john_honey,short,B,2,True,False,False,122441260,"['1.0', ' 3.0']","[1.0, 3.0]",custom_john_honey_short_B_3.jpg
169,custom,john_honey,short,B,1,True,False,False,120148991,['1.4142135623730951'],[1.4142135623730951],custom_john_honey_short_B_4.jpg
170,custom,john_honey,short,C,1,True,False,False,125972934,['1.4142135623730951'],[1.4142135623730951],custom_john_honey_short_C_0.jpg
171,custom,john_honey,short,C,0,False,False,False,123482953,[''],[],custom_john_honey_short_C_1.jpg
172,custom,john_honey,short,C,1,True,False,False,124952268,['1.0'],[1.0],custom_john_honey_short_C_2.jpg
173,custom,john_honey,short,C,1,True,False,False,131505608,['2.0'],[2.0],custom_john_honey_short_C_3.jpg
174,custom,john_honey,short,C,1,True,False,False,115258749,['1.4142135623730951'],[1.4142135623730951],custom_john_honey_short_C_4.jpg
175,custom,john_honey,short,D,1,True,False,False,120641348,['0.0'],[0.0],custom_john_honey_short_D_0.jpg
176,custom,john_honey,short,D,1,True,False,False,124876086,['1.4142135623730951'],[1.4142135623730951],custom_john_honey_short_D_1.jpg
177,custom,john_honey,short,D,3,True,False,False,122295666,"['1.4142135623730951', ' 1.4142135623730951', ' 2.0']","[1.4142135623730951, 1.4142135623730951, 2.0]",custom_john_honey_short_D_2.jpg
178,custom,john_honey,short,D,3,True,False,False,128700179,"['1.4142135623730951', ' 1.4142135623730951', ' 2.0']","[1.4142135623730951, 1.4142135623730951, 2.0]",custom_john_honey_short_D_3.jpg
179,custom,john_honey,short,D,1,True,False,False,121013330,['0.0'],[0.0],custom_john_honey_short_D_4.jpg
180,custom,michaels,high,A,1,True,False,False,112287704,['0.0'],[0.0],custom_michaels_high_A_0.jpg
